CPU*2: Intel(R) Core(TM)2 CPU 6400 @ 2.13GHz
32-bit RH4.0 Linux version 2.6.9-89.ELsmp-i686 (gcc v3.4.6)

#	Size    S/sec   Mbps            KBps            TxBurst TxDel   CPU
-	----    -----   ----            ----            ------- -----   ---
1	1	42000	1.68		205		1000	19	122
2	16	41800	6.69		816		1000	18	121
3	64	42100	22.9		2795		1000	19	123
4	128	40500	42.77		5221		1000	19	122
5	256	40448	84.13		10270		512	16	121
6	512	42086	173.73		21207		384	16	119
7	1024	41971	345.17		42135		384	16	115
8	1500	41088	494.37		60348		256	14	108
9	2048	39475	648		79104		256	14	97
10	4096	33664	1104		134787		128	15	64
11	8192	34394	2255		275283		128	15	60
12	16384	21754	2852		348143		64	15	26
13	32768	13622	3571		435970		32	14	?

