CPU*4: Intel(R) Core(TM) i5 CPU 750 @ 2.67GHz stepping 05
Hypervisor: 64-bit Mint 11 Linux version 2.6.38-8-generic (gcc v4.5.2)
VM(CPU*2): 32-bit Mint 10 Linux version 2.6.35-22-generic (gcc v4.4.5)

Size	S/sec	Mbps		KBps		TxBurst	TxDel	CPU
----	-----	----		----		-------	-----	---
1	34662	1.39		169		512	15	~50%
16	34202	5.47		668		512	10	~50%
64	36557	19.89		2,427		512	10
128	34714	36.66		4,475		512	10
256	34509	71.78		8,762		256	10
512	33997	140.34		17,131		256	10
1024	33382	274.54		33,513		256	10
1500	34335	413.36		50,459		256	10
2048	33690	553.05		67,510		256	10
4096	34099	1,118.45	136,530		256	10
8192	32768	2,148.53	262,272		256	10
16384	31130	4,081.22	498,195		256	10
32768	31386	8,228.55	1,004,462	256	10

